date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:42:51	126/126	---M-Z	200	added ('OK')	text/plain	date:Fri,%2005%20Nov%202021%2002:59:10%20GMT	https://info.ngohoanganhtuan.com/robots.txt		(from )
17:42:51	37854/37854	---MCZ	200	added ('OK')	text/html	date:Fri,%2005%20Nov%202021%2002:59:10%20GMT	https://info.ngohoanganhtuan.com/	D:/xampp/htdocs/blog_Linh/info.ngohoanganhtuan.com/index.html	(from )
17:42:52	24791/24791	---M--	200	added ('OK')	image/png	etag:%222f93c60bf0f27497340e680d922bc309%22	https://i.imgur.com/cZU9Kae.png	D:/xampp/htdocs/blog_Linh/i.imgur.com/cZU9Kae.png	(from https://info.ngohoanganhtuan.com/)
17:42:52	412/412	---M--	200	added ('OK')	image/png	etag:%2273c210edbbe3b28e140603064ac274d3%22	https://i.imgur.com/e7CkcYL.png	D:/xampp/htdocs/blog_Linh/i.imgur.com/e7CkcYL.png	(from https://info.ngohoanganhtuan.com/)
17:42:53	614/614	---M--	200	added ('OK')	image/png	etag:%2238f09ba868051ca54d495d127776d36b%22	https://i.imgur.com/gllkRMx.png	D:/xampp/htdocs/blog_Linh/i.imgur.com/gllkRMx.png	(from https://info.ngohoanganhtuan.com/)
17:42:53	701/701	---M--	200	added ('OK')	image/png	etag:%22e3d4681cb38cf789cdcbd3d30d4e755e%22	https://i.imgur.com/yuzjIkC.png	D:/xampp/htdocs/blog_Linh/i.imgur.com/yuzjIkC.png	(from https://info.ngohoanganhtuan.com/)
17:42:53	1092/1092	---M--	200	added ('OK')	image/png	etag:%22fb4c4cb6bb30a708fc872d9f0c526f7d%22	https://i.imgur.com/M7ALJXq.png	D:/xampp/htdocs/blog_Linh/i.imgur.com/M7ALJXq.png	(from https://info.ngohoanganhtuan.com/)
17:42:54	1328/1328	---M--	200	added ('OK')	image/png	etag:%2208369c77e071d9ffb6a43ba13ea867ae%22	https://i.imgur.com/5tAbm83.png	D:/xampp/htdocs/blog_Linh/i.imgur.com/5tAbm83.png	(from https://info.ngohoanganhtuan.com/)
17:42:54	1391/1391	---M--	200	added ('OK')	image/png	etag:%225f28168bf6339d0cbd2ccba101bedc5a%22	https://i.imgur.com/czqXYbf.png	D:/xampp/htdocs/blog_Linh/i.imgur.com/czqXYbf.png	(from https://info.ngohoanganhtuan.com/)
17:42:54	1815/1815	---M--	200	added ('OK')	image/png	etag:%2267f3c5395dfe66cf047deec71550aa56%22	https://i.imgur.com/9c7dj5j.png	D:/xampp/htdocs/blog_Linh/i.imgur.com/9c7dj5j.png	(from https://info.ngohoanganhtuan.com/)
17:42:54	1924/1924	---M--	200	added ('OK')	image/png	etag:%22e6e882204941ff682acad14ae06cc61b%22	https://i.imgur.com/n152L1I.png	D:/xampp/htdocs/blog_Linh/i.imgur.com/n152L1I.png	(from https://info.ngohoanganhtuan.com/)
17:42:55	2301/2301	---M--	200	added ('OK')	image/png	etag:%22777b1a0dbbe288d76c79bd511cb510fe%22	https://i.imgur.com/s7U5Qsk.png	D:/xampp/htdocs/blog_Linh/i.imgur.com/s7U5Qsk.png	(from https://info.ngohoanganhtuan.com/)
17:42:55	2374/2374	---M--	200	added ('OK')	image/png	etag:%2205264245ca9cf38787804623034c4993%22	https://i.imgur.com/ILepPiw.png	D:/xampp/htdocs/blog_Linh/i.imgur.com/ILepPiw.png	(from https://info.ngohoanganhtuan.com/)
17:42:55	2799/2799	---M--	200	added ('OK')	image/png	etag:%2297ad86f6388274785feaede7652a477e%22	https://i.imgur.com/2UjNJX5.png	D:/xampp/htdocs/blog_Linh/i.imgur.com/2UjNJX5.png	(from https://info.ngohoanganhtuan.com/)
17:42:56	721/721	---M--	200	added ('OK')	image/png	etag:%2278d6b6f9b57cd2c64d0df7f8af74f98d%22	https://i.imgur.com/5v5M8gh.png	D:/xampp/htdocs/blog_Linh/i.imgur.com/5v5M8gh.png	(from https://info.ngohoanganhtuan.com/)
17:42:57	1496/1496	---M--	200	added ('OK')	image/png	etag:%222a0cec0905a2341a33ba02eea0f00152%22	https://i.imgur.com/IXULuQ1.png	D:/xampp/htdocs/blog_Linh/i.imgur.com/IXULuQ1.png	(from https://info.ngohoanganhtuan.com/)
17:42:59	3815/3815	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03e2d-ee7%22	http://cdnjs.cloudflare.com/ajax/libs/countup.js/1.9.3/countUp.min.js	D:/xampp/htdocs/blog_Linh/cdnjs.cloudflare.com/ajax/libs/countup.js/1.9.3/countUp.min.js	(from https://info.ngohoanganhtuan.com/)
17:42:59	86709/86709	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	http://ajax.googleapis.com/ajax/libs/jquery/3.1.1/jquery.min.js	D:/xampp/htdocs/blog_Linh/ajax.googleapis.com/ajax/libs/jquery/3.1.1/jquery.min.js	(from https://info.ngohoanganhtuan.com/)
17:42:59	395691/395691	---M--	200	added ('OK')	image/jpeg	etag:%22196583a15fca3c8d411f576c2903a251%22	https://i.imgur.com/kYPETub.jpg	D:/xampp/htdocs/blog_Linh/i.imgur.com/kYPETub.jpg	(from https://info.ngohoanganhtuan.com/)
17:42:59	431837/431837	---M--	200	added ('OK')	image/jpeg	etag:%229df53b0db965646c20d2c5f478fb2bbb%22	https://i.imgur.com/qzPjQSH.jpg	D:/xampp/htdocs/blog_Linh/i.imgur.com/qzPjQSH.jpg	(from https://info.ngohoanganhtuan.com/)
17:43:00	1574/1574	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2005%20Nov%202021%2002:59:10%20GMT	https://info.ngohoanganhtuan.com/feeds/posts/default/?alt=json&max-results=0&callback=updatePostNum	D:/xampp/htdocs/blog_Linh/info.ngohoanganhtuan.com/feeds/posts/default/indexadda.html	(from https://info.ngohoanganhtuan.com/)
